1,Gloomhaven,1 a 4 jogadores
2,Projeto Gaia,1 a 4 jogadores 
3,Terra Mystica,2 a 5 jogadores 
4,Terraforming Mars,1 a 5 jogadores 
5,Brass: Birmingham,2 a 4 jogadores 
6,Brass: Lancashire,2 a 4 jogadores 
7,Twilight Imperium (Quarta Edição),3 a 6 jogadores 
8,Great Western Trail,2 a 4 jogadores 
9,Clãs da Caledônia,1 a 4 jogadores 
10,The Castles of Burgundy,2 a 4 jogadores 
11,Star Wars: Rebellion,2 a 4 jogadores 
12,Puerto Rico,2 a 5 jogadores 
13,7 Wonders Duel,2 jogadores 
14,Lisboa,1 a 4 jogadores 
15,Spirit Island,1 a 4 jogadores 
16,Twilight Struggle,2 jogadores 
17,Um Banquete a Odin,1 a 4 jogadores 
18,Mage Knight: Edição Definitiva,1 a 5 jogadores 
19,Wingspan,1 a 5 jogadores 
20,Mansions of Madness (2ª Edição),1 a 5 jogadores 
21,Scythe,1 a 5 jogadores 
22,Pandemic Legacy: 1ª Temporada,2 a 4 jogadores 
23,Five Tribes,2 a 4 jogadores 
24,Through The Ages: Uma Nova História da Civilização,2 a 4 jogadores 
25,O Senhor dos Anéis: Jornadas na Terra Média,1 a 5 jogadores 
26,Guerra do Anel (Segunda Edição),2 a 4 jogadores 
27,Trajan,2 a 4 jogadores 
28,Root,2 a 4 jogadores 
29,Teotihuacan: City of Gods,1 a 4 jogadores 
30,Mage Knight Board Game,1 a 4 jogadores 
31,Azul,2 a 4 jogadores 
32,As Viagens de Marco Polo,2 a 4 jogadores 
33,Mombasa,2 a 4 jogadores 
34,Viticulture - Edição Essencial,1 a 6 jogadores 
35,Maracaibo,1 a 4 jogadores 
36,Azul: Pavilhão de Verão,2 a 4 jogadores 
37,Clank!: Um Deck Building de Aventura,2 a 4 jogadores 
38,Concordia,2 a 5 jogadores 
39,Ticket to Ride: Europa,2 a 5 jogadores 
40,Power Grid,2 a 6 jogadores 
41,Tiranos da Umbreterna,2 a 4 jogadores 
42,Agricola (Edição Revisada),1 a 4 jogadores 
43,Tikal,2 a 4 jogadores 
44,Barrage,1 a 4 jogadores 
45,La Granja,1 a 4 jogadores 
46,Marco Polo II: Ao Serviço do Khan,2 a 4 jogadores 
47,Robinson Crusoé: Aventuras na Ilha Amaldiçoada ,1 a 4 jogadores 
48,Caverna: The Cave Farmers,1 a 7 jogadores 
49,Stone Age,2 a 4 jogadores 
50,Tzolk'in: O Calendário Maia,2 a 4 jogadores 
51,Lords of Waterdeep,2 a 5 jogadores 
52,Ilha dos Dinossauros,1 a 4 jogadores 
53,El Grande Big Box,2 a 5 jogadores 
54,7 Wonders,2 a 7 jogadores 
55,Agricola,1 a 5 jogadores 
56,Arkham Horror: The Card Game,1 a 4 jogadores 
57,Russian Railroads,2 a 4 jogadores 
58,Marvel Comic Hunters,1 a 4 jogadores 
59,Eldritch Horror,1 a 8 jogadores 
60,Orléans,2 a 4 jogadores 
61,Arcadia Quest,2 a 4 jogadores 
